trial_order,id,condition,correct,RT
0,11160,condition_b,True,142.42281874732697
1,11160,baseline,False,271.1654223617397
2,11160,condition_b,True,213.06972462148423
3,11160,condition_b,True,315.8793463162268
4,11160,baseline,True,312.05626764507383
5,11160,condition_b,True,645.0011654788209
6,11160,baseline,True,354.1116694014912
7,11160,baseline,True,229.6848425834292
8,11160,condition_a,True,360.92796826390463
9,11160,baseline,False,448.500426525192
10,11160,baseline,False,337.24430617756656
11,11160,condition_b,True,116.82585936426206
12,11160,condition_b,True,327.0354503356478
13,11160,condition_a,True,548.8242662896654
14,11160,condition_b,True,219.08715003526737
15,11160,condition_a,True,891.1705205818004
16,11160,condition_b,True,199.78733782724225
17,11160,baseline,True,380.7352164442
18,11160,condition_a,True,566.3190657514805
19,11160,baseline,True,268.6450321579467
20,11160,condition_a,True,488.3444252148365
21,11160,condition_b,True,675.4304620174125
22,11160,baseline,True,316.32511047606346
23,11160,condition_a,True,427.777922828003
24,11160,baseline,True,208.34092700668137
25,11160,baseline,True,490.7985922786435
26,11160,baseline,True,288.2812754319287
27,11160,condition_a,True,352.9747008281722
28,11160,condition_b,True,333.65193299458656
29,11160,condition_b,True,213.6132309989429
30,11160,condition_b,True,472.0984232042272
31,11160,baseline,True,229.62459163895716
32,11160,baseline,True,214.7496239025857
33,11160,condition_b,True,274.29028481989906
34,11160,baseline,True,460.2638486532665
35,11160,condition_b,True,336.2646415100413
36,11160,condition_a,False,505.0063170505056
37,11160,baseline,True,253.902692324845
38,11160,condition_b,True,217.0294592016027
39,11160,baseline,True,164.9481891993857
40,11160,condition_a,True,290.2493469177658
41,11160,condition_a,False,461.4645231480704
42,11160,baseline,True,190.98111751044615
43,11160,condition_b,True,380.4596278114252
44,11160,condition_b,True,935.1468945853316
45,11160,condition_a,True,243.18705783075367
46,11160,condition_b,True,263.4533242573096
47,11160,condition_a,True,198.45824863636955
48,11160,condition_b,True,459.6561438462568
49,11160,condition_a,True,485.9303676249934
50,11160,condition_a,True,157.54322369978843
51,11160,condition_a,True,574.1256880054078
52,11160,condition_a,True,397.4061563104684
53,11160,baseline,True,195.062684670158
54,11160,condition_a,True,505.1862537881888
55,11160,baseline,True,539.537923071172
56,11160,condition_a,True,524.8588481316646
57,11160,condition_a,True,253.1243186422389
58,11160,baseline,False,300.34194457663574
59,11160,baseline,True,687.2379799966452
60,11160,condition_b,True,266.3370344086727
61,11160,condition_b,True,242.13623355015196
62,11160,baseline,False,187.8456877738847
63,11160,condition_a,True,939.2668988520676
64,11160,condition_b,True,363.92533469559766
65,11160,condition_a,True,261.79443254954253
66,11160,condition_b,True,188.9531272143821
67,11160,baseline,False,227.4614545695337
68,11160,baseline,True,440.1298813011564
69,11160,condition_a,True,349.62800376040923
70,11160,baseline,False,336.0109445777234
71,11160,baseline,True,132.71779288809887
72,11160,condition_a,True,182.92193606455413
73,11160,condition_a,False,226.8983243385166
74,11160,condition_b,True,363.8310897234626
75,11160,condition_b,True,55.06306282192677
76,11160,baseline,False,374.3973630063225
77,11160,condition_a,True,575.4070324047675
78,11160,condition_a,True,575.2151827763558
79,11160,condition_a,True,452.5492463433984
80,11160,baseline,True,167.12770082814345
81,11160,baseline,False,495.032085039505
82,11160,condition_b,True,173.18296320868336
83,11160,condition_a,True,693.7775952950839
84,11160,condition_b,True,209.24176976074244
85,11160,baseline,False,283.4384048369353
86,11160,condition_b,True,329.2290800429697
87,11160,condition_a,False,223.31406467653196
88,11160,condition_a,True,275.7561822933402
89,11160,condition_b,True,109.35625322879962
90,11160,baseline,True,170.69160493931358
91,11160,condition_b,True,162.97754180342835
92,11160,condition_b,True,246.14903579611325
93,11160,condition_b,True,302.7484041605841
94,11160,baseline,False,199.6368286537606
95,11160,baseline,True,213.44432136598
96,11160,condition_b,True,325.0073132113215
97,11160,condition_a,False,274.8643348097358
98,11160,condition_b,True,190.19129747145556
99,11160,condition_b,True,306.267780438891
100,11160,baseline,True,321.8105136069796
101,11160,condition_a,True,949.504402906818
102,11160,condition_b,True,188.45614471477808
103,11160,condition_a,True,284.5275299890994
104,11160,condition_a,True,835.34145903007
105,11160,condition_a,True,354.8882959005536
106,11160,condition_a,True,291.5247960815193
107,11160,condition_b,True,470.8192574101557
108,11160,baseline,True,235.50801955598905
109,11160,baseline,False,286.79278094076227
110,11160,condition_a,True,529.861964962119
111,11160,baseline,True,301.0031078644089
112,11160,condition_b,True,524.085817251086
113,11160,condition_a,True,163.66583761115402
114,11160,baseline,True,460.5163957592206
115,11160,condition_b,True,169.06064569231026
116,11160,condition_a,False,519.0977738649383
117,11160,condition_b,True,460.1795520830027
118,11160,baseline,False,306.652791787937
119,11160,condition_a,True,391.7902991980747
0,38044,condition_a,True,1256.4319773231882
1,38044,baseline,False,695.651833894502
2,38044,condition_b,True,646.9200581652883
3,38044,baseline,True,279.66592515143464
4,38044,condition_a,True,1924.5796343151685
5,38044,condition_b,True,581.773254969518
6,38044,baseline,True,556.3215178562463
7,38044,baseline,True,1156.8108062101112
8,38044,baseline,False,1475.2112813395229
9,38044,condition_a,True,776.7238733772643
10,38044,condition_b,True,1444.7770743508386
11,38044,condition_a,True,1050.1420472281552
12,38044,baseline,False,1163.6663024025822
13,38044,condition_b,True,466.73640771489073
14,38044,condition_a,True,813.3079335788832
15,38044,baseline,True,402.67354760781313
16,38044,baseline,False,922.5162851574024
17,38044,baseline,False,883.6716387641975
18,38044,condition_b,True,1136.892352304491
19,38044,baseline,True,565.3186973658555
20,38044,condition_b,True,928.641780672433
21,38044,condition_b,True,572.3330111805
22,38044,baseline,True,740.809358392043
23,38044,condition_a,True,1024.2371107648244
24,38044,baseline,False,975.1641297412348
25,38044,condition_a,True,1088.645380297083
26,38044,condition_b,True,894.6463605463415
27,38044,condition_a,False,1191.8951102237315
28,38044,baseline,True,582.1715950683637
29,38044,condition_a,False,793.3842494804426
30,38044,condition_a,True,1754.1579221922111
31,38044,condition_a,True,1100.022023304667
32,38044,condition_b,True,859.2870592579849
33,38044,baseline,True,1096.1725734617503
34,38044,condition_a,True,1322.4990547234584
35,38044,condition_a,True,2781.490755574212
36,38044,baseline,True,781.1060819364213
37,38044,condition_a,True,905.2416067304216
38,38044,condition_b,True,621.2640003538457
39,38044,baseline,True,2381.760237009036
40,38044,baseline,False,743.2354122921049
41,38044,condition_b,False,489.8464730314829
42,38044,condition_b,True,912.4376794802724
43,38044,condition_a,True,1431.533693115308
44,38044,condition_a,False,796.4548699625187
45,38044,condition_b,False,447.690027534213
46,38044,condition_b,True,1029.2548565186985
47,38044,baseline,True,2010.5091227030528
48,38044,condition_b,True,637.0214019295083
49,38044,baseline,True,1542.5962406456194
50,38044,condition_a,True,740.0521074438337
51,38044,baseline,True,296.6999179331062
52,38044,condition_a,True,710.6896632225745
53,38044,baseline,True,1180.9531083998845
54,38044,baseline,True,791.5069960688686
55,38044,condition_a,True,2556.3438589420407
56,38044,condition_a,False,1958.3915874163504
57,38044,condition_a,False,1333.1399671923978
58,38044,condition_a,True,1766.3228280373698
59,38044,condition_b,True,807.563695545144
60,38044,baseline,True,927.2012683357268
61,38044,condition_b,True,257.6410523469491
62,38044,condition_a,True,1365.7109859463949
63,38044,baseline,True,456.0839781090356
64,38044,baseline,True,422.8758717864195
65,38044,condition_b,True,1070.327642524174
66,38044,condition_b,True,775.7090390026929
67,38044,condition_b,True,550.5390488734764
68,38044,baseline,False,501.3249554408625
69,38044,condition_a,True,1235.0650197990997
70,38044,condition_b,True,812.1704243381305
71,38044,condition_a,False,2995.143315411138
72,38044,condition_a,True,1364.3499945923256
73,38044,baseline,True,347.3404316127476
74,38044,condition_b,True,1976.737121835753
75,38044,condition_a,True,1527.9186918541084
76,38044,condition_a,True,875.7117422747469
77,38044,condition_a,True,805.630616393612
78,38044,condition_a,True,578.0206042459519
79,38044,condition_b,True,458.7795228406859
80,38044,condition_a,True,817.7380582018088
81,38044,condition_a,True,1621.4411972334965
82,38044,baseline,True,602.5352928396946
83,38044,condition_b,True,822.5807597293457
84,38044,baseline,True,1433.5048992227166
85,38044,condition_b,True,494.1588101511708
86,38044,baseline,True,692.0812007170332
87,38044,condition_b,True,296.0890575603013
88,38044,condition_b,True,644.0008458820112
89,38044,baseline,True,930.349847223094
90,38044,condition_b,True,1879.238065756896
91,38044,condition_a,False,787.0775567784424
92,38044,baseline,True,673.9000964602426
93,38044,condition_b,True,714.2093879786531
94,38044,condition_b,True,828.8868555285802
95,38044,condition_b,True,558.4282640924515
96,38044,condition_b,True,412.71013970763016
97,38044,condition_b,True,680.9080876180003
98,38044,condition_a,True,1145.3718945390922
99,38044,baseline,True,281.25624378343906
100,38044,condition_a,True,1472.560193556737
101,38044,baseline,True,1788.5479412783002
102,38044,baseline,False,1603.199383872682
103,38044,baseline,False,894.0427538703287
104,38044,condition_a,True,681.7591542408591
105,38044,condition_a,False,881.1807658572102
106,38044,condition_b,True,274.8476861204302
107,38044,condition_a,False,747.8291499074485
108,38044,condition_b,True,354.8713112489353
109,38044,condition_b,True,480.17174245120026
110,38044,condition_b,True,528.6171606442208
111,38044,condition_b,True,509.77007496846
112,38044,baseline,True,838.7257588956937
113,38044,condition_a,True,1845.8512352897703
114,38044,condition_b,True,1080.9113822960396
115,38044,baseline,True,1666.9258080780432
116,38044,condition_a,False,2123.1119317576645
117,38044,condition_b,True,541.6459394122282
118,38044,baseline,True,624.9908250561073
119,38044,baseline,True,1215.158732027928
0,36525,condition_a,False,657.8248116192826
1,36525,condition_a,True,1054.1717429008138
2,36525,baseline,True,716.8626238291453
3,36525,condition_a,True,2016.109377953726
4,36525,condition_b,True,530.2336046802767
5,36525,baseline,True,230.96279534810756
6,36525,baseline,True,524.8663908555832
7,36525,condition_b,True,341.2992813160628
8,36525,baseline,True,777.481237458004
9,36525,condition_b,True,481.9894558481603
10,36525,condition_a,True,1001.1489257080492
11,36525,condition_b,True,421.31995484550765
12,36525,condition_a,False,414.8300980095872
13,36525,condition_a,True,835.3102421158532
14,36525,baseline,False,875.2661153711016
15,36525,condition_a,False,1055.185553372782
16,36525,condition_a,True,574.4277477530433
17,36525,condition_a,True,804.5715927212271
18,36525,condition_b,False,337.40923216751094
19,36525,condition_b,True,216.41576419422017
20,36525,condition_a,False,332.21984634883097
21,36525,baseline,True,344.7134988644544
22,36525,condition_a,True,299.3397334142018
23,36525,condition_b,True,441.356974604649
